x,y,DEW_POINT_TEMP,WEATHER_FRE_DESC,PROVINCE_CODE,STATION_NAME,UTC_YEAR,WIND_DIRECTION,UTC_DAY,LOCAL_MONTH,STATION_PRESSURE,HUMIDEX_FLAG,VISIBILITY_FLAG,WIND_DIRECTION_FLAG,PRECIP_AMOUNT,PRECIP_AMOUNT_FLAG,LOCAL_HOUR,WINDCHILL_FLAG,HUMIDEX,WEATHER_ENG_DESC,TEMP_FLAG,TEMP,WIND_SPEED,UTC_DATE,LOCAL_DATE,LOCAL_YEAR,RELATIVE_HUMIDITY_FLAG,ID,STATION_PRESSURE_FLAG,VISIBILITY,WINDCHILL,CLIMATE_IDENTIFIER,LOCAL_DAY,WIND_SPEED_FLAG,DEW_POINT_TEMP_FLAG,UTC_MONTH,RELATIVE_HUMIDITY
-72.68055555555556,46.35166666666667,0.0,ND,QC,TROIS RIVIERES A,2024,27,14,4,99.52,,,,0,,23,,,NA,,3.5,8,2024-04-14T04:00:00,2024-04-13 23:00:00,2024,,7018561.2024.4.13.23,,16.1,,7018561,13,,,4,78
-72.68055555555556,46.35166666666667,0.4,ND,QC,TROIS RIVIERES A,2024,24,14,4,99.57,,,,0,,0,,,NA,,3.3,8,2024-04-14T05:00:00,2024-04-14 00:00:00,2024,,7018561.2024.4.14.0,,16.1,,7018561,14,,,4,81
-72.68055555555556,46.35166666666667,0.1,ND,QC,TROIS RIVIERES A,2024,27,14,4,99.64,,,,0,,1,,,NA,,3.4,9,2024-04-14T06:00:00,2024-04-14 01:00:00,2024,,7018561.2024.4.14.1,,16.1,,7018561,14,,,4,79
-72.68055555555556,46.35166666666667,-0.1,ND,QC,TROIS RIVIERES A,2024,23,14,4,99.69,,,,0,,2,,,NA,,2.7,9,2024-04-14T07:00:00,2024-04-14 02:00:00,2024,,7018561.2024.4.14.2,,16.1,,7018561,14,,,4,82
-72.68055555555556,46.35166666666667,0.2,ND,QC,TROIS RIVIERES A,2024,23,14,4,99.76,,,,0,,3,,,NA,,3.0,13,2024-04-14T08:00:00,2024-04-14 03:00:00,2024,,7018561.2024.4.14.3,,16.1,,7018561,14,,,4,82
-72.68055555555556,46.35166666666667,0.3,ND,QC,TROIS RIVIERES A,2024,24,14,4,99.8,,,,0,,4,,,NA,,3.1,13,2024-04-14T09:00:00,2024-04-14 04:00:00,2024,,7018561.2024.4.14.4,,16.1,,7018561,14,,,4,82
-72.68055555555556,46.35166666666667,-0.1,ND,QC,TROIS RIVIERES A,2024,22,14,4,99.84,,,,0,,5,,,NA,,2.3,13,2024-04-14T10:00:00,2024-04-14 05:00:00,2024,,7018561.2024.4.14.5,,16.1,,7018561,14,,,4,84
-72.68055555555556,46.35166666666667,0.5,ND,QC,TROIS RIVIERES A,2024,23,14,4,99.89,,,,0,,6,,,NA,,2.8,13,2024-04-14T11:00:00,2024-04-14 06:00:00,2024,,7018561.2024.4.14.6,,16.1,,7018561,14,,,4,85
-72.68055555555556,46.35166666666667,0.8,ND,QC,TROIS RIVIERES A,2024,23,14,4,99.92,,,,0,,7,,,NA,,3.4,13,2024-04-14T12:00:00,2024-04-14 07:00:00,2024,,7018561.2024.4.14.7,,16.1,,7018561,14,,,4,83
-72.68055555555556,46.35166666666667,1.7,ND,QC,TROIS RIVIERES A,2024,26,14,4,99.94,,,,0,,8,,,NA,,5.7,13,2024-04-14T13:00:00,2024-04-14 08:00:00,2024,,7018561.2024.4.14.8,,16.1,,7018561,14,,,4,75
-72.68055555555556,46.35166666666667,0.9,ND,QC,TROIS RIVIERES A,2024,23,14,4,99.88,,,,0,,9,,,NA,,6.4,11,2024-04-14T14:00:00,2024-04-14 09:00:00,2024,,7018561.2024.4.14.9,,16.1,,7018561,14,,,4,68
-72.68055555555556,46.35166666666667,2.0,ND,QC,TROIS RIVIERES A,2024,20,14,4,99.82,,,,0,,10,,,NA,,7.6,22,2024-04-14T15:00:00,2024-04-14 10:00:00,2024,,7018561.2024.4.14.10,,16.1,,7018561,14,,,4,67
-72.68055555555556,46.35166666666667,-1.3,ND,QC,TROIS RIVIERES A,2024,29,14,4,99.73,,,,0,,11,,,NA,,10.2,11,2024-04-14T16:00:00,2024-04-14 11:00:00,2024,,7018561.2024.4.14.11,,16.1,,7018561,14,,,4,45
-72.68055555555556,46.35166666666667,2.2,ND,QC,TROIS RIVIERES A,2024,19,14,4,99.69,,,,0,,12,,,NA,,10.8,21,2024-04-14T17:00:00,2024-04-14 12:00:00,2024,,7018561.2024.4.14.12,,16.1,,7018561,14,,,4,55
-72.68055555555556,46.35166666666667,1.9,ND,QC,TROIS RIVIERES A,2024,19,14,4,99.67,,,,0,,13,,,NA,,10.4,22,2024-04-14T18:00:00,2024-04-14 13:00:00,2024,,7018561.2024.4.14.13,,16.1,,7018561,14,,,4,56
-72.68055555555556,46.35166666666667,2.8,ND,QC,TROIS RIVIERES A,2024,21,14,4,99.65,,,,0,,14,,,NA,,11.1,26,2024-04-14T19:00:00,2024-04-14 14:00:00,2024,,7018561.2024.4.14.14,,16.1,,7018561,14,,,4,56
-72.68055555555556,46.35166666666667,1.8,ND,QC,TROIS RIVIERES A,2024,22,14,4,99.6,,,,0,,15,,,NA,,11.5,22,2024-04-14T20:00:00,2024-04-14 15:00:00,2024,,7018561.2024.4.14.15,,16.1,,7018561,14,,,4,51
-72.68055555555556,46.35166666666667,2.3,ND,QC,TROIS RIVIERES A,2024,22,14,4,99.6,,,,0,,16,,,NA,,12.1,24,2024-04-14T21:00:00,2024-04-14 16:00:00,2024,,7018561.2024.4.14.16,,16.1,,7018561,14,,,4,51
-72.68055555555556,46.35166666666667,3.5,ND,QC,TROIS RIVIERES A,2024,21,14,4,99.61,,,,0,,17,,,NA,,11.4,30,2024-04-14T22:00:00,2024-04-14 17:00:00,2024,,7018561.2024.4.14.17,,16.1,,7018561,14,,,4,58
-72.68055555555556,46.35166666666667,3.3,ND,QC,TROIS RIVIERES A,2024,23,14,4,99.68,,,,0,,18,,,NA,,8.6,21,2024-04-14T23:00:00,2024-04-14 18:00:00,2024,,7018561.2024.4.14.18,,16.1,,7018561,14,,,4,69
-72.68055555555556,46.35166666666667,3.3,ND,QC,TROIS RIVIERES A,2024,22,15,4,99.7,,,,0,,19,,,NA,,7.8,17,2024-04-15T00:00:00,2024-04-14 19:00:00,2024,,7018561.2024.4.14.19,,16.1,,7018561,14,,,4,73
-72.68055555555556,46.35166666666667,4.0,ND,QC,TROIS RIVIERES A,2024,22,15,4,99.75,,,,0,,20,,,NA,,7.4,17,2024-04-15T01:00:00,2024-04-14 20:00:00,2024,,7018561.2024.4.14.20,,16.1,,7018561,14,,,4,79
-72.68055555555556,46.35166666666667,4.1,ND,QC,TROIS RIVIERES A,2024,22,15,4,99.73,,,,0,,21,,,NA,,6.0,13,2024-04-15T02:00:00,2024-04-14 21:00:00,2024,,7018561.2024.4.14.21,,16.1,,7018561,14,,,4,88
-72.68055555555556,46.35166666666667,4.4,ND,QC,TROIS RIVIERES A,2024,23,15,4,99.73,,,,0,,22,,,NA,,5.9,9,2024-04-15T03:00:00,2024-04-14 22:00:00,2024,,7018561.2024.4.14.22,,16.1,,7018561,14,,,4,90
-72.68055555555556,46.35166666666667,4.9,ND,QC,TROIS RIVIERES A,2024,22,15,4,99.74,,,,0,,23,,,NA,,5.9,11,2024-04-15T04:00:00,2024-04-14 23:00:00,2024,,7018561.2024.4.14.23,,16.1,,7018561,14,,,4,93
-72.68055555555556,46.35166666666667,5.3,ND,QC,TROIS RIVIERES A,2024,23,15,4,99.77,,,,0,,0,,,NA,,6.3,13,2024-04-15T05:00:00,2024-04-15 00:00:00,2024,,7018561.2024.4.15.0,,16.1,,7018561,15,,,4,93
-72.68055555555556,46.35166666666667,5.5,Pluie,QC,TROIS RIVIERES A,2024,24,15,4,99.74,,,,0,,1,,,Rain,,6.2,9,2024-04-15T06:00:00,2024-04-15 01:00:00,2024,,7018561.2024.4.15.1,,16.1,,7018561,15,,,4,95
-72.68055555555556,46.35166666666667,5.1,Pluie,QC,TROIS RIVIERES A,2024,28,15,4,99.73,,,,0,,2,,,Rain,,5.7,8,2024-04-15T07:00:00,2024-04-15 02:00:00,2024,,7018561.2024.4.15.2,,16.1,,7018561,15,,,4,96
-72.68055555555556,46.35166666666667,4.9,Pluie,QC,TROIS RIVIERES A,2024,33,15,4,99.75,,,,0,,3,,,Rain,,5.2,4,2024-04-15T08:00:00,2024-04-15 03:00:00,2024,,7018561.2024.4.15.3,,16.1,,7018561,15,,,4,98
-72.68055555555556,46.35166666666667,4.4,ND,QC,TROIS RIVIERES A,2024,1,15,4,99.78,,,,0,,4,,,NA,,5.3,5,2024-04-15T09:00:00,2024-04-15 04:00:00,2024,,7018561.2024.4.15.4,,16.1,,7018561,15,,,4,94
-72.68055555555556,46.35166666666667,4.1,ND,QC,TROIS RIVIERES A,2024,0,15,4,99.86,,,,0,,5,,,NA,,5.0,0,2024-04-15T10:00:00,2024-04-15 05:00:00,2024,,7018561.2024.4.15.5,,16.1,,7018561,15,,,4,94
-72.68055555555556,46.35166666666667,4.1,ND,QC,TROIS RIVIERES A,2024,,15,4,99.96,,,M,0,,6,,,NA,,5.1,4,2024-04-15T11:00:00,2024-04-15 06:00:00,2024,,7018561.2024.4.15.6,,16.1,,7018561,15,,,4,93
-72.68055555555556,46.35166666666667,3.7,ND,QC,TROIS RIVIERES A,2024,29,15,4,100.04,,,,0,,7,,,NA,,6.0,5,2024-04-15T12:00:00,2024-04-15 07:00:00,2024,,7018561.2024.4.15.7,,16.1,,7018561,15,,,4,85
-72.68055555555556,46.35166666666667,4.0,ND,QC,TROIS RIVIERES A,2024,1,15,4,100.08,,,,0,,8,,,NA,,8.0,9,2024-04-15T13:00:00,2024-04-15 08:00:00,2024,,7018561.2024.4.15.8,,16.1,,7018561,15,,,4,76
-72.68055555555556,46.35166666666667,1.3,ND,QC,TROIS RIVIERES A,2024,35,15,4,100.1,,,,0,,9,,,NA,,9.6,8,2024-04-15T14:00:00,2024-04-15 09:00:00,2024,,7018561.2024.4.15.9,,16.1,,7018561,15,,,4,56
