x,y,WIND_SPEED,LOCAL_DATE,ID,PROVINCE_CODE,LOCAL_HOUR,VISIBILITY,PRECIP_AMOUNT,WEATHER_FRE_DESC,WIND_DIRECTION_FLAG,RELATIVE_HUMIDITY,WINDCHILL_FLAG,HUMIDEX_FLAG,LOCAL_MONTH,DEW_POINT_TEMP,RELATIVE_HUMIDITY_FLAG,VISIBILITY_FLAG,DEW_POINT_TEMP_FLAG,STATION_NAME,UTC_DATE,STATION_PRESSURE,STATION_PRESSURE_FLAG,TEMP_FLAG,WEATHER_ENG_DESC,HUMIDEX,PRECIP_AMOUNT_FLAG,UTC_DAY,LOCAL_YEAR,LOCAL_DAY,UTC_MONTH,TEMP,WIND_DIRECTION,WIND_SPEED_FLAG,WINDCHILL,CLIMATE_IDENTIFIER,UTC_YEAR
-61.778055555555554,47.425,22,2024-06-19 10:00:00,7053250.2024.6.19.10,QC,10,16.1,,ND,,82,,,6,16.1,,,,ILES DE LA MADELEINE A,2024-06-19T14:00:00,101.9,,,NA,,,19,2024,19,6,19.1,21,,,7053250,2024
-61.778055555555554,47.425,22,2024-06-19 11:00:00,7053250.2024.6.19.11,QC,11,16.1,,Généralement dégagé,,79,,,6,16.9,,,,ILES DE LA MADELEINE A,2024-06-19T15:00:00,101.87,,,Mainly Clear,26,,19,2024,19,6,20.7,21,,,7053250,2024
-61.778055555555554,47.425,23,2024-06-19 12:00:00,7053250.2024.6.19.12,QC,12,24.1,,ND,,73,,,6,18.4,,,,ILES DE LA MADELEINE A,2024-06-19T16:00:00,101.86,,,NA,30,,19,2024,19,6,23.3,22,,,7053250,2024
-61.778055555555554,47.425,26,2024-06-19 13:00:00,7053250.2024.6.19.13,QC,13,24.1,,ND,,73,,,6,19.2,,,,ILES DE LA MADELEINE A,2024-06-19T17:00:00,101.82,,,NA,31,,19,2024,19,6,24.3,23,,,7053250,2024
-61.778055555555554,47.425,26,2024-06-19 14:00:00,7053250.2024.6.19.14,QC,14,24.1,,Généralement dégagé,,69,,,6,19.8,,,,ILES DE LA MADELEINE A,2024-06-19T18:00:00,101.73,,,Mainly Clear,33,,19,2024,19,6,25.8,23,,,7053250,2024
-61.778055555555554,47.425,23,2024-06-19 15:00:00,7053250.2024.6.19.15,QC,15,24.1,,ND,,68,,,6,20.3,,,,ILES DE LA MADELEINE A,2024-06-19T19:00:00,101.72,,,NA,34,,19,2024,19,6,26.6,23,,,7053250,2024
-61.778055555555554,47.425,20,2024-06-19 16:00:00,7053250.2024.6.19.16,QC,16,24.1,,ND,,68,,,6,20.5,,,,ILES DE LA MADELEINE A,2024-06-19T20:00:00,101.64,,,NA,35,,19,2024,19,6,26.7,23,,,7053250,2024
-61.778055555555554,47.425,24,2024-06-19 17:00:00,7053250.2024.6.19.17,QC,17,24.1,,Généralement dégagé,,68,,,6,20.7,,,,ILES DE LA MADELEINE A,2024-06-19T21:00:00,101.55,,,Mainly Clear,35,,19,2024,19,6,27.0,23,,,7053250,2024
-61.778055555555554,47.425,22,2024-06-19 18:00:00,7053250.2024.6.19.18,QC,18,24.1,,ND,,68,,,6,20.9,,,,ILES DE LA MADELEINE A,2024-06-19T22:00:00,101.48,,,NA,35,,19,2024,19,6,27.1,23,,,7053250,2024
-61.778055555555554,47.425,28,2024-06-19 19:00:00,7053250.2024.6.19.19,QC,19,24.1,,ND,,71,,,6,20.2,,,,ILES DE LA MADELEINE A,2024-06-19T23:00:00,101.43,,,NA,34,,19,2024,19,6,25.9,22,,,7053250,2024
-61.778055555555554,47.425,31,2024-06-19 20:00:00,7053250.2024.6.19.20,QC,20,24.1,,Dégagé,,74,,,6,19.6,,,,ILES DE LA MADELEINE A,2024-06-20T00:00:00,101.38,,,Clear,32,,20,2024,19,6,24.4,22,,,7053250,2024
-61.778055555555554,47.425,32,2024-06-19 21:00:00,7053250.2024.6.19.21,QC,21,24.1,,ND,,77,,,6,19.5,,,,ILES DE LA MADELEINE A,2024-06-20T01:00:00,101.4,,,NA,31,,20,2024,19,6,23.7,22,,,7053250,2024
-61.778055555555554,47.425,30,2024-06-19 22:00:00,7053250.2024.6.19.22,QC,22,24.1,,ND,,77,,,6,19.6,,,,ILES DE LA MADELEINE A,2024-06-20T02:00:00,101.37,,,NA,31,,20,2024,19,6,23.8,23,,,7053250,2024
-61.778055555555554,47.425,34,2024-06-20 05:00:00,7053250.2024.6.20.5,QC,5,16.1,,Généralement dégagé,,81,,,6,19.0,,,,ILES DE LA MADELEINE A,2024-06-20T09:00:00,101.15,,,Mainly Clear,29,,20,2024,20,6,22.4,26,,,7053250,2024
-61.778055555555554,47.425,33,2024-06-20 06:00:00,7053250.2024.6.20.6,QC,6,16.1,,ND,,81,,,6,19.0,,,,ILES DE LA MADELEINE A,2024-06-20T10:00:00,101.17,,,NA,29,,20,2024,20,6,22.4,26,,,7053250,2024
-61.778055555555554,47.425,32,2024-06-20 07:00:00,7053250.2024.6.20.7,QC,7,16.1,,ND,,79,,,6,19.0,,,,ILES DE LA MADELEINE A,2024-06-20T11:00:00,101.19,,,NA,30,,20,2024,20,6,22.8,25,,,7053250,2024
-61.778055555555554,47.425,32,2024-06-20 08:00:00,7053250.2024.6.20.8,QC,8,16.1,,Généralement dégagé,,76,,,6,19.2,,,,ILES DE LA MADELEINE A,2024-06-20T12:00:00,101.21,,,Mainly Clear,31,,20,2024,20,6,23.6,26,,,7053250,2024
-61.778055555555554,47.425,31,2024-06-20 09:00:00,7053250.2024.6.20.9,QC,9,16.1,,ND,,76,,,6,19.7,,,,ILES DE LA MADELEINE A,2024-06-20T13:00:00,101.19,,,NA,32,,20,2024,20,6,24.2,26,,,7053250,2024
-61.778055555555554,47.425,38,2024-06-20 10:00:00,7053250.2024.6.20.10,QC,10,16.1,,ND,,73,,,6,20.1,,,,ILES DE LA MADELEINE A,2024-06-20T14:00:00,101.2,,,NA,33,,20,2024,20,6,25.2,27,,,7053250,2024
-61.778055555555554,47.425,31,2024-06-20 11:00:00,7053250.2024.6.20.11,QC,11,16.1,,Généralement dégagé,,73,,,6,20.0,,,,ILES DE LA MADELEINE A,2024-06-20T15:00:00,101.2,,,Mainly Clear,33,,20,2024,20,6,25.1,27,,,7053250,2024
-61.778055555555554,47.425,27,2024-06-20 12:00:00,7053250.2024.6.20.12,QC,12,16.1,,ND,,83,,,6,19.2,,,,ILES DE LA MADELEINE A,2024-06-20T16:00:00,101.21,,,NA,29,,20,2024,20,6,22.2,27,,,7053250,2024
-61.778055555555554,47.425,34,2024-06-20 13:00:00,7053250.2024.6.20.13,QC,13,16.1,,ND,,74,,,6,19.8,,,,ILES DE LA MADELEINE A,2024-06-20T17:00:00,101.19,,,NA,32,,20,2024,20,6,24.6,27,,,7053250,2024
-61.778055555555554,47.425,31,2024-06-20 14:00:00,7053250.2024.6.20.14,QC,14,19.3,,Généralement dégagé,,73,,,6,18.4,,,,ILES DE LA MADELEINE A,2024-06-20T18:00:00,101.18,,,Mainly Clear,30,,20,2024,20,6,23.4,28,,,7053250,2024
-61.778055555555554,47.425,20,2024-06-20 15:00:00,7053250.2024.6.20.15,QC,15,19.3,,ND,,81,,,6,16.8,,,,ILES DE LA MADELEINE A,2024-06-20T19:00:00,101.25,,,NA,25,,20,2024,20,6,20.1,28,,,7053250,2024
-61.778055555555554,47.425,19,2024-06-20 16:00:00,7053250.2024.6.20.16,QC,16,19.3,,ND,,74,,,6,17.6,,,,ILES DE LA MADELEINE A,2024-06-20T20:00:00,101.25,,,NA,28,,20,2024,20,6,22.3,28,,,7053250,2024
-61.778055555555554,47.425,18,2024-06-20 17:00:00,7053250.2024.6.20.17,QC,17,19.3,,Généralement dégagé,,76,,,6,17.4,,,,ILES DE LA MADELEINE A,2024-06-20T21:00:00,101.25,,,Mainly Clear,27,,20,2024,20,6,21.8,29,,,7053250,2024
-61.778055555555554,47.425,12,2024-06-20 18:00:00,7053250.2024.6.20.18,QC,18,24.1,,ND,,81,,,6,17.0,,,,ILES DE LA MADELEINE A,2024-06-20T22:00:00,101.27,,,NA,25,,20,2024,20,6,20.2,31,,,7053250,2024
-61.778055555555554,47.425,18,2024-06-20 19:00:00,7053250.2024.6.20.19,QC,19,32.2,,ND,,68,,,6,14.9,,,,ILES DE LA MADELEINE A,2024-06-20T23:00:00,101.3,,,NA,25,,20,2024,20,6,21.0,33,,,7053250,2024
-61.778055555555554,47.425,25,2024-06-20 20:00:00,7053250.2024.6.20.20,QC,20,32.2,,Généralement dégagé,,68,,,6,13.2,,,,ILES DE LA MADELEINE A,2024-06-21T00:00:00,101.34,,,Mainly Clear,,,21,2024,20,6,19.1,33,,,7053250,2024
-61.778055555555554,47.425,27,2024-06-20 21:00:00,7053250.2024.6.20.21,QC,21,24.1,,ND,,68,,,6,12.6,,,,ILES DE LA MADELEINE A,2024-06-21T01:00:00,101.4,,,NA,,,21,2024,20,6,18.4,33,,,7053250,2024
-61.778055555555554,47.425,30,2024-06-20 22:00:00,7053250.2024.6.20.22,QC,22,24.1,,ND,,65,,,6,11.6,,,,ILES DE LA MADELEINE A,2024-06-21T02:00:00,101.41,,,NA,,,21,2024,20,6,18.1,33,,,7053250,2024
-61.778055555555554,47.425,23,2024-06-21 05:00:00,7053250.2024.6.21.5,QC,5,32.2,,Généralement nuageux,,69,,,6,10.5,,,,ILES DE LA MADELEINE A,2024-06-21T09:00:00,101.64,,,Mostly Cloudy,,,21,2024,21,6,16.1,34,,,7053250,2024
-61.778055555555554,47.425,27,2024-06-21 06:00:00,7053250.2024.6.21.6,QC,6,32.2,,ND,,70,,,6,10.2,,,,ILES DE LA MADELEINE A,2024-06-21T10:00:00,101.68,,,NA,,,21,2024,21,6,15.7,33,,,7053250,2024
-61.778055555555554,47.425,21,2024-06-21 07:00:00,7053250.2024.6.21.7,QC,7,32.2,,ND,,68,,,6,11.2,,,,ILES DE LA MADELEINE A,2024-06-21T11:00:00,101.68,,,NA,,,21,2024,21,6,17.2,32,,,7053250,2024
-61.778055555555554,47.425,25,2024-06-21 08:00:00,7053250.2024.6.21.8,QC,8,32.2,,Dégagé,,60,,,6,10.5,,,,ILES DE LA MADELEINE A,2024-06-21T12:00:00,101.68,,,Clear,,,21,2024,21,6,18.3,32,,,7053250,2024
-61.778055555555554,47.425,24,2024-06-21 09:00:00,7053250.2024.6.21.9,QC,9,32.2,,ND,,63,,,6,11.3,,,,ILES DE LA MADELEINE A,2024-06-21T13:00:00,101.7,,,NA,,,21,2024,21,6,18.3,31,,,7053250,2024
-61.778055555555554,47.425,25,2024-06-21 10:00:00,7053250.2024.6.21.10,QC,10,32.2,,ND,,58,,,6,11.1,,,,ILES DE LA MADELEINE A,2024-06-21T14:00:00,101.71,,,NA,,,21,2024,21,6,19.5,33,,,7053250,2024
-61.778055555555554,47.425,26,2024-06-21 11:00:00,7053250.2024.6.21.11,QC,11,32.2,,Généralement dégagé,,56,,,6,9.8,,,,ILES DE LA MADELEINE A,2024-06-21T15:00:00,101.74,,,Mainly Clear,,,21,2024,21,6,18.7,31,,,7053250,2024
-61.778055555555554,47.425,23,2024-06-21 12:00:00,7053250.2024.6.21.12,QC,12,32.2,,ND,,60,,,6,10.5,,,,ILES DE LA MADELEINE A,2024-06-21T16:00:00,101.71,,,NA,,,21,2024,21,6,18.3,32,,,7053250,2024
-61.778055555555554,47.425,22,2024-06-21 13:00:00,7053250.2024.6.21.13,QC,13,32.2,,ND,,61,,,6,10.3,,,,ILES DE LA MADELEINE A,2024-06-21T17:00:00,101.67,,,NA,,,21,2024,21,6,18.0,30,,,7053250,2024
-61.778055555555554,47.425,23,2024-06-21 14:00:00,7053250.2024.6.21.14,QC,14,32.2,,Généralement nuageux,,60,,,6,9.7,,,,ILES DE LA MADELEINE A,2024-06-21T18:00:00,101.66,,,Mostly Cloudy,,,21,2024,21,6,17.4,32,,,7053250,2024
-61.778055555555554,47.425,24,2024-06-21 15:00:00,7053250.2024.6.21.15,QC,15,32.2,,ND,,63,,,6,10.2,,,,ILES DE LA MADELEINE A,2024-06-21T19:00:00,101.66,,,NA,,,21,2024,21,6,17.1,32,,,7053250,2024
-61.778055555555554,47.425,21,2024-06-21 16:00:00,7053250.2024.6.21.16,QC,16,32.2,,ND,,61,,,6,10.2,,,,ILES DE LA MADELEINE A,2024-06-21T20:00:00,101.7,,,NA,,,21,2024,21,6,17.8,31,,,7053250,2024
-61.778055555555554,47.425,19,2024-06-21 17:00:00,7053250.2024.6.21.17,QC,17,32.2,,Généralement dégagé,,59,,,6,9.3,,,,ILES DE LA MADELEINE A,2024-06-21T21:00:00,101.65,,,Mainly Clear,,,21,2024,21,6,17.2,31,,,7053250,2024
-61.778055555555554,47.425,18,2024-06-21 18:00:00,7053250.2024.6.21.18,QC,18,32.2,,ND,,61,,,6,9.1,,,,ILES DE LA MADELEINE A,2024-06-21T22:00:00,101.65,,,NA,,,21,2024,21,6,16.7,31,,,7053250,2024
